chain,chunk,first_sample,samples,nominal_ns,written_ns,retries
0,132,135168,1024,92454072463187,92454072463661,0
0,133,136192,1024,92454072808433,92454072808943,0
0,134,137216,1024,92454073153679,92454073154165,0
0,135,138240,1024,92454073498925,92454073499427,0
0,136,139264,1024,92454073844170,92454073844948,0
0,137,140288,1024,92454074189416,92454074190040,0
0,138,141312,1024,92454074534662,92454074535371,0
0,139,142336,1024,92454074879908,92454074880353,0
0,140,143360,1024,92454075225154,92454075226025,0
0,141,144384,1024,92454075570399,92454075571177,0
0,142,145408,1024,92454075915645,92454075916168,0
0,143,146432,1024,92454076260891,92454076261570,0
0,144,147456,1024,92454076606137,92454076607181,0
0,145,148480,1024,92454076951382,92454076951783,0
0,146,149504,1024,92454077296628,92454077297325,0
0,147,150528,1024,92454077641874,92454077642607,0
0,148,151552,1024,92454077987120,92454077987798,0
0,149,152576,1024,92454078332366,92454078333060,0
0,150,153600,1024,92454078677611,92454078678131,0
0,151,154624,1024,92454079022857,92454079023243,0
0,152,155648,1024,92454079368103,92454079368625,0
0,153,156672,1024,92454079713349,92454079713937,0
0,154,157696,1024,92454080058594,92454080059268,0
0,155,158720,1024,92454080403840,92454080404250,0
0,156,159744,1024,92454080749086,92454080749712,0
0,157,160768,1024,92454081094332,92454081094733,0
0,158,161792,1024,92454081439577,92454081440096,0
0,159,162816,1024,92454081784823,92454081785377,0
0,160,163840,1024,92454082130069,92454082130699,0
0,161,164864,1024,92454082475315,92454082475730,0
0,162,165888,1024,92454082820561,92454082821082,0
0,163,166912,1024,92454083165806,92454083166473,0
0,164,167936,1024,92454083511052,92454083511626,0
0,165,168960,1024,92454083856298,92454083856787,0
0,166,169984,1024,92454084201544,92454084202269,0
0,167,171008,1024,92454084546789,92454084547270,0
0,168,172032,1024,92454084892035,92454084892532,0
0,169,173056,1024,92454085237281,92454085237893,0
0,170,174080,1024,92454085582527,92454085583136,0
0,171,175104,1024,92454085927773,92454085928447,0
0,172,176128,1024,92454086273018,92454086273529,0
0,173,177152,1024,92454086618264,92454086618830,0
0,174,178176,1024,92454086963510,92454086963992,0
0,175,179200,1024,92454087308756,92454087309623,0
0,176,180224,1024,92454087654001,92454087654575,0
0,177,181248,1024,92454087999247,92454087999777,0
0,178,182272,1024,92454088344493,92454088345229,0
0,179,183296,1024,92454088689739,92454088690290,0
0,180,184320,1024,92454089034985,92454089035582,0
0,181,185344,1024,92454089380230,92454089380973,0
0,182,186368,1024,92454089725476,92454089726215,0
0,183,187392,1024,92454090070722,92454090071287,0
0,184,188416,1024,92454090415968,92454090416499,0
0,185,189440,1024,92454090761213,92454090761720,0
0,186,190464,1024,92454091106459,92454091106982,0
0,187,191488,1024,92454091451705,92454091452333,0
0,188,192512,1024,92454091796951,92454091797575,0
0,189,193536,1024,92454092142196,92454092142787,0
0,190,194560,1024,92454092487442,92454092488099,0
0,191,195584,1024,92454092832688,92454092833400,0
0,192,196608,1024,92454093177934,92454093178352,0
0,193,197632,1024,92454093523180,92454093523853,0
0,194,198656,1024,92454093868425,92454093869285,0
