chain,chunk,first_sample,samples,nominal_ns,written_ns,retries
0,0,0,1024,92361946319897,92361946321827,0
0,1,1024,1024,92361946691131,92361946694859,0
0,2,2048,1024,92361947062365,92361947063212,0
0,3,3072,1024,92361947433598,92361947434415,0
0,4,4096,1024,92361947804832,92361947805897,0
0,5,5120,1024,92361948176066,92361948176879,0
0,6,6144,1024,92361948547300,92361948548172,0
0,7,7168,1024,92361948918533,92361948919205,0
0,8,8192,1024,92361949289767,92361949290697,0
0,9,9216,1024,92361949661001,92361949662249,0
0,10,10240,1024,92361950032235,92361950033082,0
0,11,11264,1024,92361950403468,92361950404225,0
0,12,12288,1024,92361950774702,92361950775707,0
0,13,13312,1024,92361951145936,92361951146720,0
0,14,14336,1024,92361951517170,92361951517953,0
0,15,15360,1024,92361951888403,92361951889095,0
0,16,16384,1024,92361952259637,92361952260247,0
0,17,17408,1024,92361952630871,92361952631500,0
0,18,18432,1024,92361953002104,92361953013093,0
0,19,19456,1024,92361953373338,92361953373965,0
0,20,20480,1024,92361953744572,92361953745207,0
0,21,21504,1024,92361954115806,92361954116611,0
0,22,22528,1024,92361954487039,92361954487723,0
0,23,23552,1024,92361954858273,92361954858855,0
0,24,24576,1024,92361955229507,92361955230647,0
0,25,25600,1024,92361955600741,92361955602191,0
0,26,26624,1024,92361955971974,92361955972663,0
0,27,27648,1024,92361956343208,92361956343855,0
0,28,28672,1024,92361956714442,92361956715199,0
0,29,29696,1024,92361957085676,92361957086301,0
0,30,30720,1024,92361957456909,92361957457643,0
0,31,31744,1024,92361957828143,92361957828795,0
0,32,32768,1024,92361958199377,92361958200039,0
0,33,33792,1024,92361958570611,92361958571201,0
0,34,34816,1024,92361958941844,92361958942523,0
0,35,35840,1024,92361959313078,92361959313886,0
0,36,36864,1024,92361959684312,92361959692058,0
0,37,37888,1024,92361960055545,92361960056271,0
0,38,38912,1024,92361960426779,92361960427363,0
0,39,39936,1024,92361960798013,92361960798776,0
0,40,40960,1024,92361961169247,92361961169979,0
0,41,41984,1024,92361961540480,92361961541281,0
0,42,43008,1024,92361961911714,92361961912473,0
0,43,44032,1024,92361962282948,92361962284046,0
0,44,45056,1024,92361962654182,92361962654919,0
0,45,46080,1024,92361963025415,92361963026161,0
0,46,47104,1024,92361963396649,92361963397294,0
0,47,48128,1024,92361963767883,92361963768607,0
0,48,49152,1024,92361964139117,92361964139749,0
0,49,50176,1024,92361964510350,92361964511041,0
0,50,51200,1024,92361964881584,92361964882234,0
0,51,52224,1024,92361965252818,92361965253527,0
0,52,53248,1024,92361965624052,92361965624779,0
0,53,54272,1024,92361965995285,92361965996122,0
0,54,55296,1024,92361966366519,92361966367214,0
0,55,56320,1024,92361966737753,92361966738847,0
0,56,57344,1024,92361967108986,92361967109659,0
0,57,58368,1024,92361967480220,92361967480872,0
0,58,59392,1024,92361967851454,92361967852234,0
0,59,60416,1024,92361968222688,92361968223367,0
0,60,61440,1024,92361968593921,92361968594590,0
0,61,62464,1024,92361968965155,92361968965772,0
0,62,63488,1024,92361969336389,92361969337135,0
0,63,64512,1024,92361969707623,92361969708307,0
0,64,65536,1024,92361970078856,92361970079550,0
0,65,66560,1024,92361970450090,92361970450822,0
0,66,67584,1024,92361970821324,92361970822025,0
0,67,68608,1024,92361971192558,92361971193158,0
0,68,69632,1024,92361971563791,92361971564530,0
0,69,70656,1024,92361971935025,92361971935732,0
0,70,71680,1024,92361972306259,92361972307295,0
0,71,72704,1024,92361972677492,92361972678268,0
0,72,73728,1024,92361973048726,92361973049660,0
0,73,74752,1024,92361973419960,92361973420682,0
0,74,75776,1024,92361973791194,92361973792216,0
0,75,76800,1024,92361974162427,92361974163158,0
0,76,77824,1024,92361974533661,92361974534310,0
0,77,78848,1024,92361974904895,92361974905662,0
0,78,79872,1024,92361975276129,92361975276816,0
0,79,80896,1024,92361975647362,92361975647948,0
0,80,81920,1024,92361976018596,92361976019220,0
0,81,82944,1024,92361976389830,92361976390314,0
0,82,83968,1024,92361976761064,92361976761706,0
0,83,84992,1024,92361977132297,92361977132728,0
0,84,86016,1024,92361977503531,92361977504160,0
0,85,87040,1024,92361977874765,92361977875424,0
0,86,88064,1024,92361978245999,92361978246536,0
0,87,89088,1024,92361978617232,92361978617838,0
0,88,90112,1024,92361978988466,92361978988890,0
0,89,91136,1024,92361979359700,92361979360214,0
0,90,92160,1024,92361979730933,92361979731476,0
0,91,93184,1024,92361980102167,92361980102758,0
0,92,94208,1024,92361980473401,92361980474231,0
0,93,95232,1024,92361980844635,92361980845134,0
0,94,96256,1024,92361981215868,92361981216316,0
0,95,97280,1024,92361981587102,92361981587799,0
0,96,98304,1024,92361981958336,92361981958932,0
0,97,99328,1024,92361982329570,92361982330174,0
0,98,100352,1024,92361982700803,92361982701296,0
0,99,101376,1024,92361983072037,92361983072739,0
0,100,102400,1024,92361983443271,92361983443852,0
0,101,103424,1024,92361983814505,92361983815044,0
0,102,104448,1024,92361984185738,92361984186326,0
0,103,105472,1024,92361984556972,92361984557539,0
0,104,106496,1024,92361984928206,92361984928872,0
0,105,107520,1024,92361985299440,92361985299924,0
0,106,108544,1024,92361985670673,92361985671637,0
0,107,109568,1024,92361986041907,92361986042459,0
0,108,110592,1024,92361986413141,92361986413852,0
0,109,111616,1024,92361986784374,92361986785525,0
0,110,112640,1024,92361987155608,92361987156507,0
0,111,113664,1024,92361987526842,92361987527569,0
0,112,114688,1024,92361987898076,92361987898792,0
0,113,115712,1024,92361988269309,92361988270195,0
0,114,116736,1024,92361988640543,92361988641477,0
0,115,117760,1024,92361989011777,92361989012920,0
0,116,118784,1024,92361989383011,92361989384092,0
0,117,119808,1024,92361989754244,92361989754955,0
0,118,120832,1024,92361990125478,92361990126297,0
0,119,121856,1024,92361990496712,92361990497450,0
0,120,122880,1024,92361990867946,92361990868643,0
0,121,123904,1024,92361991239179,92361991240035,0
0,122,124928,1024,92361991610413,92361991611217,0
0,123,125952,1024,92361991981647,92361991982790,0
0,124,126976,1024,92361992352880,92361992353713,0
0,125,128000,1024,92361992724114,92361992724895,0
0,126,129024,1024,92361993095348,92361993096487,0
0,127,130048,1024,92361993466582,92361993467281,0
0,128,131072,1024,92361993837815,92361993838553,0
0,129,132096,1024,92361994209049,92361994209785,0
0,130,133120,1024,92361994580283,92361994581027,0
0,131,134144,1024,92361994951517,92361994952231,0
0,132,135168,1024,92361995322750,92361995323983,0
0,133,136192,1024,92361995693984,92361995694665,0
0,134,137216,1024,92361996065218,92361996065979,0
0,135,138240,1024,92361996436452,92361996437191,0
0,136,139264,1024,92361996807685,92361996808393,0
0,137,140288,1024,92361997178919,92361997179555,0
0,138,141312,1024,92361997550153,92361997550829,0
0,139,142336,1024,92361997921387,92361997922001,0
0,140,143360,1024,92361998292620,92361998293273,0
0,141,144384,1024,92361998663854,92361998664505,0
0,142,145408,1024,92361999035088,92361999035919,0
0,143,146432,1024,92361999406321,92361999407431,0
0,144,147456,1024,92361999777555,92361999778273,0
0,145,148480,1024,92362000148789,92362000149526,0
0,146,149504,1024,92362000520023,92362000520739,0
0,147,150528,1024,92362000891256,92362000891971,0
0,148,151552,1024,92362001262490,92362001263333,0
0,149,152576,1024,92362001633724,92362001634367,0
0,150,153600,1024,92362002004958,92362002010669,0
0,151,154624,1024,92362002376191,92362002376841,0
0,152,155648,1024,92362002747425,92362002748264,0
0,153,156672,1024,92362003118659,92362003119357,0
0,154,157696,1024,92362003489893,92362003490599,0
0,155,158720,1024,92362003861126,92362003861791,0
0,156,159744,1024,92362004232360,92362004233014,0
0,157,160768,1024,92362004603594,92362004604257,0
0,158,161792,1024,92362004974828,92362004975689,0
0,159,162816,1024,92362005346061,92362005346712,0
0,160,163840,1024,92362005717295,92362005718414,0
0,161,164864,1024,92362006088529,92362006089147,0
0,162,165888,1024,92362006459762,92362006460529,0
0,163,166912,1024,92362006830996,92362006831752,0
0,164,167936,1024,92362007202230,92362007202924,0
0,165,168960,1024,92362007573464,92362007574137,0
0,166,169984,1024,92362007944697,92362007945430,0
0,167,171008,1024,92362008315931,92362008316622,0
0,168,172032,1024,92362008687165,92362008693025,0
0,169,173056,1024,92362009058399,92362009059197,0
0,170,174080,1024,92362009429632,92362009430400,0
0,171,175104,1024,92362009800866,92362009801582,0
0,172,176128,1024,92362010172100,92362010172795,0
0,173,177152,1024,92362010543334,92362010544068,0
0,174,178176,1024,92362010914567,92362010915570,0
0,175,179200,1024,92362011285801,92362011286502,0
0,176,180224,1024,92362011657035,92362011657645,0
0,177,181248,1024,92362012028268,92362012029208,0
0,178,182272,1024,92362012399502,92362012400260,0
0,179,183296,1024,92362012770736,92362012771732,0
0,180,184320,1024,92362013141970,92362013142675,0
0,181,185344,1024,92362013513203,92362013513908,0
0,182,186368,1024,92362013884437,92362013885200,0
0,183,187392,1024,92362014255671,92362014256333,0
0,184,188416,1024,92362014626905,92362014627566,0
0,185,189440,1024,92362014998138,92362014998848,0
0,186,190464,1024,92362015369372,92362015370530,0
0,187,191488,1024,92362015740606,92362015741303,0
0,188,192512,1024,92362016111840,92362016112626,0
0,189,193536,1024,92362016483073,92362016483788,0
0,190,194560,1024,92362016854307,92362016855140,0
0,191,195584,1024,92362017225541,92362017226204,0
0,192,196608,1024,92362017596775,92362017597526,0
0,193,197632,1024,92362017968008,92362017968798,0
0,194,198656,1024,92362018339242,92362018340430,0
0,195,199680,1024,92362018710476,92362018711194,0
0,196,200704,1024,92362019081709,92362019082396,0
0,197,201728,1024,92362019452943,92362019453738,0
0,198,202752,1024,92362019824177,92362019825031,0
0,199,203776,1024,92362020195411,92362020196114,0
0,200,204800,1024,92362020566644,92362020567376,0
0,201,205824,1024,92362020937878,92362020938538,0
0,202,206848,1024,92362021309112,92362021309972,0
0,203,207872,1024,92362021680346,92362021681054,0
0,204,208896,1024,92362022051579,92362022052286,0
