chain,chunk,first_sample,samples,nominal_ns,written_ns,retries
0,0,0,1024,92264793849347,92264793852210,0
0,1,1024,1024,92264794252039,92264794252814,0
0,2,2048,1024,92264794654731,92264794655527,0
0,3,3072,1024,92264795057422,92264795058241,0
0,4,4096,1024,92264795460114,92264795460924,0
0,5,5120,1024,92264795862806,92264795863458,0
0,6,6144,1024,92264796265498,92264796266262,0
0,7,7168,1024,92264796668189,92264796668935,0
0,8,8192,1024,92264797070881,92264797071529,0
0,9,9216,1024,92264797473573,92264797474673,0
0,10,10240,1024,92264797876265,92264797876947,0
0,11,11264,1024,92264798278956,92264798279639,0
0,12,12288,1024,92264798681648,92264798682353,0
0,13,13312,1024,92264799084340,92264799085107,0
0,14,14336,1024,92264799487032,92264799487801,0
0,15,15360,1024,92264799889723,92264799890374,0
0,16,16384,1024,92264800292415,92264800292788,0
0,17,17408,1024,92264800695107,92264800695572,0
0,18,18432,1024,92264801097799,92264801098225,0
0,19,19456,1024,92264801500490,92264801500918,0
0,20,20480,1024,92264801903182,92264801903582,0
0,21,21504,1024,92264802305874,92264802306286,0
0,22,22528,1024,92264802708566,92264802708980,0
0,23,23552,1024,92264803111257,92264803111743,0
0,24,24576,1024,92264803513949,92264803514446,0
0,25,25600,1024,92264803916641,92264803917040,0
0,26,26624,1024,92264804319333,92264804319774,0
0,27,27648,1024,92264804722024,92264804722478,0
0,28,28672,1024,92264805124716,92264805125151,0
0,29,29696,1024,92264805527408,92264805527805,0
0,30,30720,1024,92264805930100,92264805930519,0
0,31,31744,1024,92264806332791,92264806333232,0
0,32,32768,1024,92264806735483,92264806735935,0
0,33,33792,1024,92264807138175,92264807138619,0
0,34,34816,1024,92264807540866,92264807541303,0
0,35,35840,1024,92264807943558,92264807943977,0
0,36,36864,1024,92264808346250,92264808346660,0
0,37,37888,1024,92264808748942,92264808749874,0
0,38,38912,1024,92264809151633,92264809152197,0
0,39,39936,1024,92264809554325,92264809554901,0
0,40,40960,1024,92264809957017,92264809957554,0
0,41,41984,1024,92264810359709,92264810360158,0
0,42,43008,1024,92264810762400,92264810762862,0
0,43,44032,1024,92264811165092,92264811165576,0
0,44,45056,1024,92264811567784,92264811568308,0
0,45,46080,1024,92264811970476,92264811970972,0
0,46,47104,1024,92264812373167,92264812373626,0
0,47,48128,1024,92264812775859,92264812776430,0
0,48,49152,1024,92264813178551,92264813179054,0
0,49,50176,1024,92264813581243,92264813581757,0
0,50,51200,1024,92264813983934,92264813984360,0
0,51,52224,1024,92264814386626,92264814387124,0
0,52,53248,1024,92264814789318,92264814789718,0
0,53,54272,1024,92264815192010,92264815192491,0
0,54,55296,1024,92264815594701,92264815595165,0
0,55,56320,1024,92264815997393,92264815997949,0
0,56,57344,1024,92264816400085,92264816400503,0
0,57,58368,1024,92264816802777,92264816803315,0
0,58,59392,1024,92264817205468,92264817205989,0
0,59,60416,1024,92264817608160,92264817608913,0
0,60,61440,1024,92264818010852,92264818013477,0
0,61,62464,1024,92264818413544,92264818414290,0
0,62,63488,1024,92264818816235,92264818816914,0
0,63,64512,1024,92264819218927,92264819219438,0
0,64,65536,1024,92264819621619,92264819622101,0
0,65,66560,1024,92264820024311,92264820024764,0
0,66,67584,1024,92264820427002,92264820427628,0
0,67,68608,1024,92264820829694,92264820830122,0
0,68,69632,1024,92264821232386,92264821232816,0
0,69,70656,1024,92264821635077,92264821635880,0
0,70,71680,1024,92264822037769,92264822038192,0
0,71,72704,1024,92264822440461,92264822440886,0
0,72,73728,1024,92264822843153,92264822843720,0
0,73,74752,1024,92264823245844,92264823246564,0
0,74,75776,1024,92264823648536,92264823649047,0
0,75,76800,1024,92264824051228,92264824051861,0
0,76,77824,1024,92264824453920,92264824454305,0
0,77,78848,1024,92264824856611,92264824857628,0
0,78,79872,1024,92264825259303,92264825259781,0
0,79,80896,1024,92264825661995,92264825662515,0
0,80,81920,1024,92264826064687,92264826065099,0
0,81,82944,1024,92264826467378,92264826467853,0
0,82,83968,1024,92264826870070,92264826870556,0
0,83,84992,1024,92264827272762,92264827273240,0
0,84,86016,1024,92264827675454,92264827676023,0
0,85,87040,1024,92264828078145,92264828078657,0
0,86,88064,1024,92264828480837,92264828481300,0
0,87,89088,1024,92264828883529,92264828883994,0
0,88,90112,1024,92264829286221,92264829286758,0
0,89,91136,1024,92264829688912,92264829690802,0
0,90,92160,1024,92264830091604,92264830092355,0
0,91,93184,1024,92264830494296,92264830494778,0
0,92,94208,1024,92264830896988,92264830897502,0
0,93,95232,1024,92264831299679,92264831300176,0
0,94,96256,1024,92264831702371,92264831702830,0
0,95,97280,1024,92264832105063,92264832105573,0
0,96,98304,1024,92264832507755,92264832508237,0
0,97,99328,1024,92264832910446,92264832910950,0
0,98,100352,1024,92264833313138,92264833314034,0
0,99,101376,1024,92264833715830,92264833716497,0
0,100,102400,1024,92264834118522,92264834118991,0
0,101,103424,1024,92264834521213,92264834521815,0
0,102,104448,1024,92264834923905,92264834924529,0
0,103,105472,1024,92264835326597,92264835327011,0
0,104,106496,1024,92264835729288,92264835729865,0
0,105,107520,1024,92264836131980,92264836132629,0
0,106,108544,1024,92264836534672,92264836535233,0
0,107,109568,1024,92264836937364,92264836937846,0
0,108,110592,1024,92264837340055,92264837340820,0
0,109,111616,1024,92264837742747,92264837743364,0
0,110,112640,1024,92264838145439,92264838146047,0
0,111,113664,1024,92264838548131,92264838548571,0
0,112,114688,1024,92264838950822,92264838951264,0
0,113,115712,1024,92264839353514,92264839354048,0
0,114,116736,1024,92264839756206,92264839756822,0
0,115,117760,1024,92264840158898,92264840159396,0
0,116,118784,1024,92264840561589,92264840562258,0
0,117,119808,1024,92264840964281,92264840964962,0
0,118,120832,1024,92264841366973,92264841367606,0
0,119,121856,1024,92264841769665,92264841770050,0
0,120,122880,1024,92264842172356,92264842172963,0
0,121,123904,1024,92264842575048,92264842575747,0
0,122,124928,1024,92264842977740,92264842978411,0
0,123,125952,1024,92264843380432,92264843380984,0
0,124,126976,1024,92264843783123,92264843783737,0
0,125,128000,1024,92264844185815,92264844186301,0
0,126,129024,1024,92264844588507,92264844589185,0
0,127,130048,1024,92264844991199,92264844991669,0
0,128,131072,1024,92264845393890,92264845394572,0
