N,policy,threads,receivers,rate,traced,repeats,saturated,x,batch_n,batch_mean_us,batch_std_us,batch_min_us,batch_max_us,frame_n,frame_mean_us,frame_std_us,frame_min_us,frame_max_us,edf_miss_ratio,lost_records
1024,edf,2,1,2500000.0,True,3,False,0.2149832089712802,60438,82.39700142294583,10.981406209755725,54.925,468.719,25734,350.6601207740732,186.93847631401144,164.746,793.767,0.0,864719214
1024,edf,6,3,2500000.0,True,3,False,0.2860696156181932,103492,177.0941139411742,63.74564644662346,59.434,2493.72,77202,503.18301740887534,206.7550951524674,180.836,5410.973,1.1019092939752322e-05,1331779373
1024,edf,1,1,2500000.0,True,3,False,0.3428385040927604,111615,73.83611142767549,31.607339189975193,52.512,370.921,25734,309.5503792259268,179.81185950487665,158.325,830.308,0.0,297997189
1024,edf,2,1,5000000.0,True,3,False,0.4684577110762435,174138,88.3544746063467,49.79058697916978,54.263,2342.005,51468,284.61985723167794,91.99356698170321,166.626,941.812,7.04438739277111e-05,658613077
1024,edf,6,3,5000000.0,True,3,False,0.5568253166048595,312226,232.58925975415247,91.60415116022133,62.202,3330.92,154404,494.28101813424524,268.9312533186604,194.587,12060.627,0.00010339366531969677,1067036265
1024,edf,2,3,2500000.0,True,3,False,0.6717545814166667,382525,365.87975565518593,86.93288447056186,114.66,1109.497,77202,742.1576449573845,346.04562630852917,233.758,10041.039,0.0,252586395
1024,edf,1,1,5000000.0,True,3,False,0.6755291729833335,292969,74.62561319115673,31.876714680506414,51.288,454.82,51468,241.86595820704127,84.30447765874568,157.625,464.166,2.781144864701581e-06,192361348
1024,edf,6,2,10000000.0,True,3,False,0.7366493432148608,619718,597.9702721350678,2465.2916427330983,69.577,31670.688,205866,545.8082012668435,490.8938231618732,200.506,8865.938,0.0020349663254610245,1173911956
1024,edf,1,1,20000000.0,True,3,True,0.9217908305333334,,,,,,71813,2304.598364794675,165.16898718876337,1811.57,3596.791,0.09216686775131093,227637729
1024,edf,1,1,10000000.0,True,3,True,0.9260084882333334,24131,25119106.906347435,112037.31615339222,24882292.311,25345349.645,72116,2251.5552440096512,158.80737087216625,1779.28,3471.028,0.0018068233221846962,225140106
1024,edf,1,3,2500000.0,True,3,True,0.92934950545,439452,2785936.0597778163,345010.03910006944,2048983.361,3466741.386,72926,1371.4178376710636,444.26323329597705,699.084,3190.368,9.059019512121471e-06,133503004
