tag,dir,N,workers,receivers,rate,policy,traced,rep,target,kind,rc,analysis_rc,wall_s
target_N1024_t2_r4_rate2500000_rr_trace_rep0,data/rt_300_300_102934_QPSK_1_2_s1/runs4/sweep-x86-8core/target_N1024_t2_r4_rate2500000_rr_trace_rep0,1024,2,4,2500000,rr,True,0,0.95,target,0,0,100.4
target_N1024_t2_r4_rate2500000_edf_trace_rep0,data/rt_300_300_102934_QPSK_1_2_s1/runs4/sweep-x86-8core/target_N1024_t2_r4_rate2500000_edf_trace_rep0,1024,2,4,2500000,edf,True,0,0.95,target,0,0,99.1
target_N1024_t2_r4_rate2500000_rm_trace_rep0,data/rt_300_300_102934_QPSK_1_2_s1/runs4/sweep-x86-8core/target_N1024_t2_r4_rate2500000_rm_trace_rep0,1024,2,4,2500000,rm,True,0,0.95,target,0,0,171.7
target_N1024_t6_r3_rate2500000_rr_trace_rep0,data/rt_300_300_102934_QPSK_1_2_s1/runs4/sweep-x86-8core/target_N1024_t6_r3_rate2500000_rr_trace_rep0,1024,6,3,2500000,rr,True,0,0.3,target,0,0,362.6
target_N1024_t6_r3_rate2500000_edf_trace_rep0,data/rt_300_300_102934_QPSK_1_2_s1/runs4/sweep-x86-8core/target_N1024_t6_r3_rate2500000_edf_trace_rep0,1024,6,3,2500000,edf,True,0,0.3,target,0,0,102.0
target_N1024_t6_r3_rate2500000_rm_trace_rep0,data/rt_300_300_102934_QPSK_1_2_s1/runs4/sweep-x86-8core/target_N1024_t6_r3_rate2500000_rm_trace_rep0,1024,6,3,2500000,rm,True,0,0.3,target,0,0,348.8
target_N1024_t6_r3_rate5000000_rr_trace_rep0,data/rt_300_300_102934_QPSK_1_2_s1/runs4/sweep-x86-8core/target_N1024_t6_r3_rate5000000_rr_trace_rep0,1024,6,3,5000000,rr,True,0,0.5,target,0,0,335.8
target_N1024_t6_r3_rate5000000_edf_trace_rep0,data/rt_300_300_102934_QPSK_1_2_s1/runs4/sweep-x86-8core/target_N1024_t6_r3_rate5000000_edf_trace_rep0,1024,6,3,5000000,edf,True,0,0.5,target,0,0,109.4
target_N1024_t6_r3_rate5000000_rm_trace_rep0,data/rt_300_300_102934_QPSK_1_2_s1/runs4/sweep-x86-8core/target_N1024_t6_r3_rate5000000_rm_trace_rep0,1024,6,3,5000000,rm,True,0,0.5,target,0,0,326.2
target_N1024_t6_r2_rate10000000_rr_trace_rep0,data/rt_300_300_102934_QPSK_1_2_s1/runs4/sweep-x86-8core/target_N1024_t6_r2_rate10000000_rr_trace_rep0,1024,6,2,10000000,rr,True,0,"0.7,0.85,0.95",target,0,0,272.7
target_N1024_t6_r2_rate10000000_edf_trace_rep0,data/rt_300_300_102934_QPSK_1_2_s1/runs4/sweep-x86-8core/target_N1024_t6_r2_rate10000000_edf_trace_rep0,1024,6,2,10000000,edf,True,0,"0.7,0.85,0.95",target,0,0,107.9
target_N1024_t6_r2_rate10000000_rm_trace_rep0,data/rt_300_300_102934_QPSK_1_2_s1/runs4/sweep-x86-8core/target_N1024_t6_r2_rate10000000_rm_trace_rep0,1024,6,2,10000000,rm,True,0,"0.7,0.85,0.95",target,0,0,266.0
target_N2048_t1_r1_rate2500000_rr_trace_rep0,data/rt_300_300_102934_QPSK_1_2_s1/runs4/sweep-x86-8core/target_N2048_t1_r1_rate2500000_rr_trace_rep0,2048,1,1,2500000,rr,True,0,0.3,target,0,0,86.1
target_N2048_t1_r1_rate2500000_edf_trace_rep0,data/rt_300_300_102934_QPSK_1_2_s1/runs4/sweep-x86-8core/target_N2048_t1_r1_rate2500000_edf_trace_rep0,2048,1,1,2500000,edf,True,0,0.3,target,0,0,76.2
target_N2048_t1_r1_rate2500000_rm_trace_rep0,data/rt_300_300_102934_QPSK_1_2_s1/runs4/sweep-x86-8core/target_N2048_t1_r1_rate2500000_rm_trace_rep0,2048,1,1,2500000,rm,True,0,0.3,target,0,0,85.6
target_N2048_t1_r2_rate2500000_rr_trace_rep0,data/rt_300_300_102934_QPSK_1_2_s1/runs4/sweep-x86-8core/target_N2048_t1_r2_rate2500000_rr_trace_rep0,2048,1,2,2500000,rr,True,0,0.5,target,0,0,96.0
target_N2048_t1_r2_rate2500000_edf_trace_rep0,data/rt_300_300_102934_QPSK_1_2_s1/runs4/sweep-x86-8core/target_N2048_t1_r2_rate2500000_edf_trace_rep0,2048,1,2,2500000,edf,True,0,0.5,target,0,0,80.7
target_N2048_t1_r2_rate2500000_rm_trace_rep0,data/rt_300_300_102934_QPSK_1_2_s1/runs4/sweep-x86-8core/target_N2048_t1_r2_rate2500000_rm_trace_rep0,2048,1,2,2500000,rm,True,0,0.5,target,0,0,89.3
target_N2048_t1_r1_rate5000000_rr_trace_rep0,data/rt_300_300_102934_QPSK_1_2_s1/runs4/sweep-x86-8core/target_N2048_t1_r1_rate5000000_rr_trace_rep0,2048,1,1,5000000,rr,True,0,0.7,target,0,0,86.4
target_N2048_t1_r1_rate5000000_edf_trace_rep0,data/rt_300_300_102934_QPSK_1_2_s1/runs4/sweep-x86-8core/target_N2048_t1_r1_rate5000000_edf_trace_rep0,2048,1,1,5000000,edf,True,0,0.7,target,0,0,76.7
target_N2048_t1_r1_rate5000000_rm_trace_rep0,data/rt_300_300_102934_QPSK_1_2_s1/runs4/sweep-x86-8core/target_N2048_t1_r1_rate5000000_rm_trace_rep0,2048,1,1,5000000,rm,True,0,0.7,target,0,0,84.7
target_N2048_t1_r3_rate2500000_rr_trace_rep0,data/rt_300_300_102934_QPSK_1_2_s1/runs4/sweep-x86-8core/target_N2048_t1_r3_rate2500000_rr_trace_rep0,2048,1,3,2500000,rr,True,0,"0.85,0.95",target,0,0,84.9
target_N2048_t1_r3_rate2500000_edf_trace_rep0,data/rt_300_300_102934_QPSK_1_2_s1/runs4/sweep-x86-8core/target_N2048_t1_r3_rate2500000_edf_trace_rep0,2048,1,3,2500000,edf,True,0,"0.85,0.95",target,0,0,81.0
target_N2048_t1_r3_rate2500000_rm_trace_rep0,data/rt_300_300_102934_QPSK_1_2_s1/runs4/sweep-x86-8core/target_N2048_t1_r3_rate2500000_rm_trace_rep0,2048,1,3,2500000,rm,True,0,"0.85,0.95",target,0,0,122.8
target_N2048_t2_r1_rate2500000_rr_trace_rep0,data/rt_300_300_102934_QPSK_1_2_s1/runs4/sweep-x86-8core/target_N2048_t2_r1_rate2500000_rr_trace_rep0,2048,2,1,2500000,rr,True,0,0.3,target,0,0,110.2
target_N2048_t2_r1_rate2500000_edf_trace_rep0,data/rt_300_300_102934_QPSK_1_2_s1/runs4/sweep-x86-8core/target_N2048_t2_r1_rate2500000_edf_trace_rep0,2048,2,1,2500000,edf,True,0,0.3,target,0,0,79.4
target_N2048_t2_r1_rate2500000_rm_trace_rep0,data/rt_300_300_102934_QPSK_1_2_s1/runs4/sweep-x86-8core/target_N2048_t2_r1_rate2500000_rm_trace_rep0,2048,2,1,2500000,rm,True,0,0.3,target,0,0,110.8
target_N2048_t2_r2_rate2500000_rr_trace_rep0,data/rt_300_300_102934_QPSK_1_2_s1/runs4/sweep-x86-8core/target_N2048_t2_r2_rate2500000_rr_trace_rep0,2048,2,2,2500000,rr,True,0,0.5,target,0,0,131.2
target_N2048_t2_r2_rate2500000_edf_trace_rep0,data/rt_300_300_102934_QPSK_1_2_s1/runs4/sweep-x86-8core/target_N2048_t2_r2_rate2500000_edf_trace_rep0,2048,2,2,2500000,edf,True,0,0.5,target,0,0,77.7
