chain,seq,length,t_first_ns,t_last_ns,t_decode_ns,lat_first_us,lat_last_us,decoded,correct
0,85,300,91838018494441,91838020542791,91838020714607,2220.166,171.816,1,1
0,86,300,91838020950745,91838022589061,91838023164960,2214.215,575.899,1,1
0,87,300,91838022998964,91838025047014,91838025231970,2233.006,184.956,1,1
0,88,300,91838025455698,91838027505658,91838027664013,2208.315,158.355,1,1
0,89,300,91838027914611,91838029553627,91838030130346,2215.735,576.719,1,1
0,90,300,91838029962090,91838032010960,91838032210537,2248.447,199.577,1,1
0,91,300,91838032419584,91838034467843,91838034638289,2218.705,170.446,1,1
0,92,300,91838034877808,91838036517013,91838037084352,2206.544,567.339,1,1
0,93,300,91838036924577,91838038975257,91838039179883,2255.306,204.626,1,1
0,94,300,91838039382320,91838041432330,91838041604726,2222.406,172.396,1,1
0,95,300,91838041840884,91838043890803,91838044062249,2221.365,171.446,1,1
0,96,300,91838043890803,91838045936593,91838046491362,2600.559,554.769,1,1
0,97,300,91838046346607,91838048395506,91838048566462,2219.855,170.956,1,1
0,98,300,91838048803590,91838050851759,91838051036726,2233.136,184.967,1,1
0,99,300,91838051261184,91838052898969,91838053453778,2192.594,554.809,1,1
0,100,300,91838053310113,91838055356312,91838055532839,2222.726,176.527,1,1
0,101,300,91838055766397,91838057814646,91838057980472,2214.075,165.826,1,1
0,102,300,91838058225080,91838059864195,91838060422864,2197.784,558.669,1,1
0,103,300,91838060272089,91838062319719,91838062501805,2229.716,182.086,1,1
0,104,300,91838062730333,91838064777362,91838064954608,2224.275,177.246,1,1
0,105,300,91838065189015,91838066826311,91838067392921,2203.906,566.610,1,1
0,106,300,91838067235826,91838069283685,91838069456561,2220.735,172.876,1,1
0,107,300,91838069692718,91838071741948,91838071913644,2220.926,171.696,1,1
0,108,300,91838072150342,91838074198132,91838074353227,2202.885,155.095,1,1
0,109,300,91838074198132,91838076247281,91838076798160,2600.028,550.879,1,1
0,110,300,91838076656935,91838078704175,91838078879080,2222.145,174.905,1,1
0,111,300,91838079116558,91838081161267,91838081327473,2210.915,166.206,1,1
0,112,300,91838081571912,91838083210817,91838083762376,2190.464,551.559,1,1
0,113,300,91838083619671,91838085667951,91838085845757,2226.086,177.806,1,1
0,114,300,91838086077594,91838088127625,91838088309221,2231.627,181.596,1,1
0,115,300,91838088535678,91838090172914,91838090732022,2196.344,559.108,1,1
0,116,300,91838090582287,91838092631707,91838092810933,2228.646,179.226,1,1
0,117,300,91838093040161,91838095087840,91838095282007,2241.846,194.167,1,1
0,118,300,91838095498744,91838097142530,91838097704439,2205.695,561.909,1,1
0,119,300,91838097547084,91838099593973,91838099786690,2239.606,192.717,1,1
0,120,300,91838100011568,91838102052936,91838102232023,2220.455,179.087,1,1
0,121,300,91838102462281,91838104510790,91838104674476,2212.195,163.686,1,1
0,122,300,91838104510790,91838106557719,91838107111679,2600.889,553.960,1,1
0,123,300,91838106968313,91838109015193,91838109199569,2231.256,184.376,1,1
0,124,300,91838109425047,91838111472746,91838111649182,2224.135,176.436,1,1
0,125,300,91838111882900,91838113520045,91838114082105,2199.205,562.060,1,1
0,126,300,91838113931170,91838115978589,91838116173856,2242.686,195.267,1,1
0,127,300,91838116390793,91838118434783,91838118606218,2215.425,171.435,1,1
0,128,300,91838118844686,91838120484602,91838121066922,2222.236,582.320,1,1
0,129,300,91838120894326,91838122942455,91838123131362,2237.036,188.907,1,1
0,130,300,91838123352120,91838125399469,91838125570655,2218.535,171.186,1,1
0,131,300,91838125807512,91838127446438,91838128031258,2223.746,584.820,1,1
0,132,300,91838127856173,91838129903832,91838130092588,2236.415,188.756,1,1
0,133,300,91838130318936,91838132361225,91838132543032,2224.096,181.807,1,1
0,134,300,91838132770739,91838134818778,91838134982904,2212.165,164.126,1,1
0,135,300,91838134818778,91838136871548,91838137419577,2600.799,548.029,1,1
0,136,300,91838137281552,91838139325022,91838139500217,2218.665,175.195,1,1
0,137,300,91838139735265,91838141782294,91838141938140,2202.875,155.846,1,1
0,138,300,91838142194189,91838143832844,91838144376672,2182.483,543.828,1,1
0,139,300,91838144240818,91838146288838,91838146457143,2216.325,168.305,1,1
0,140,300,91838146698911,91838148746811,91838148916396,2217.485,169.585,1,1
0,141,300,91838149154925,91838150793351,91838151345779,2190.854,552.428,1,1
0,142,300,91838151203864,91838153251973,91838153423139,2219.275,171.166,1,1
0,143,300,91838153661728,91838155710477,91838155872683,2210.955,162.206,1,1
0,144,300,91838156119861,91838157756777,91838158324616,2204.755,567.839,1,1
0,145,300,91838158166351,91838160213850,91838160386035,2219.684,172.185,1,1
0,146,300,91838160623364,91838162671853,91838162853480,2230.116,181.627,1,1
0,147,300,91838163088967,91838165129997,91838165300213,2211.246,170.216,1,1
0,148,300,91838165129997,91838167177576,91838167728315,2598.318,550.739,1,1
0,149,300,91838167588510,91838169636330,91838169813666,2225.156,177.336,1,1
0,150,300,91838170045654,91838172094333,91838172271949,2226.295,177.616,1,1
0,151,300,91838172503197,91838174144412,91838174701142,2197.945,556.730,1,1
0,152,300,91838174551007,91838176598786,91838176774442,2223.435,175.656,1,1
0,153,300,91838177012190,91838179055980,91838179236105,2223.915,180.125,1,1
0,154,300,91838179465743,91838181107899,91838181663748,2198.005,555.849,1,1
0,155,300,91838181514013,91838183561232,91838183752308,2238.295,191.076,1,1
0,156,300,91838183970566,91838186022556,91838186203382,2232.816,180.826,1,1
0,157,300,91838186429579,91838188068455,91838188639255,2209.676,570.800,1,1
0,158,300,91838188476859,91838190524409,91838190706675,2229.816,182.266,1,1
0,159,300,91838190934512,91838192984172,91838193165198,2230.686,181.026,1,1
0,160,300,91838193393656,91838195446106,91838195600811,2207.155,154.705,1,1
0,161,300,91838195446106,91838197488765,91838198033543,2587.437,544.778,1,1
0,162,300,91838197897318,91838199945378,91838200118044,2220.726,172.666,1,1
0,163,300,91838200354972,91838202407432,91838202559587,2204.615,152.155,1,1
0,164,300,91838202814146,91838204451431,91838204997999,2183.853,546.568,1,1
0,165,300,91838204861275,91838206912205,91838207090780,2229.505,178.575,1,1
0,166,300,91838207324628,91838209366197,91838209524883,2200.255,158.686,1,1
0,167,300,91838209776512,91838211416808,91838211971646,2195.134,554.838,1,1
0,168,300,91838211827861,91838213874971,91838214052457,2224.596,177.486,1,1
0,169,300,91838214282795,91838216334605,91838216496550,2213.755,161.945,1,1
0,170,300,91838216739878,91838218377783,91838218934682,2194.804,556.899,1,1
0,171,300,91838218788057,91838220835057,91838221027843,2239.786,192.786,1,1
0,172,300,91838221246521,91838223293630,91838223467056,2220.535,173.426,1,1
0,173,300,91838223703435,91838225750794,91838225926439,2223.004,175.645,1,1
0,174,300,91838225750794,91838227799333,91838228347592,2596.798,548.259,1,1
0,175,300,91838228209777,91838230257866,91838230433442,2223.665,175.576,1,1
0,176,300,91838230667451,91838232713610,91838232880395,2212.944,166.785,1,1
0,177,300,91838233124283,91838234762239,91838235316338,2192.055,554.099,1,1
0,178,300,91838235172604,91838237219763,91838237409199,2236.595,189.436,1,1
0,179,300,91838237634027,91838239677556,91838239854312,2220.285,176.756,1,1
0,180,300,91838240086320,91838241725506,91838242281714,2195.394,556.208,1,1
0,181,300,91838242139780,91838244182219,91838244363156,2223.376,180.937,1,1
0,182,300,91838244591513,91838246640713,91838246801058,2209.545,160.345,1,1
0,183,300,91838247053106,91838248687482,91838249257551,2204.445,570.069,1,1
0,184,300,91838249099255,91838251147415,91838251321761,2222.506,174.346,1,1
0,185,300,91838251556599,91838253604549,91838253767394,2210.795,162.845,1,1
0,186,300,91838254013952,91838256060932,91838256230308,2216.356,169.376,1,1
0,187,300,91838256060932,91838258110372,91838258648940,2588.008,538.568,1,1
0,188,300,91838258524546,91838260566314,91838260742421,2217.875,176.107,1,1
0,189,300,91838260975829,91838263025058,91838263200575,2224.746,175.517,1,1
0,190,300,91838263434542,91838265083208,91838265615846,2181.304,532.638,1,1
0,191,300,91838265481172,91838267529231,91838267708447,2227.275,179.216,1,1
0,192,300,91838267939725,91838269988674,91838270165991,2226.266,177.317,1,1
0,193,300,91838270396379,91838272035544,91838272588453,2192.074,552.909,1,1
0,194,300,91838272446498,91838274493907,91838274664873,2218.375,170.966,1,1
0,195,300,91838274903312,91838276951981,91838277130527,2227.215,178.546,1,1
0,196,300,91838277360525,91838279012160,91838279570950,2210.425,558.790,1,1
0,197,300,91838279414004,91838281456373,91838281628199,2214.195,171.826,1,1
0,198,300,91838281865788,91838283914927,91838284085953,2220.165,171.026,1,1
0,199,300,91838284324380,91838286370881,91838286521405,2197.025,150.524,1,1
0,200,300,91838286370881,91838288420390,91838288954758,2583.877,534.368,1,1
0,201,300,91838288829524,91838290877113,91838291055329,2225.805,178.216,1,1
0,202,300,91838291288037,91838293335937,91838293509933,2221.896,173.996,1,1
0,203,300,91838293745890,91838295382866,91838295939566,2193.676,556.700,1,1
0,204,300,91838295795130,91838297839940,91838298016045,2220.915,176.105,1,1
0,205,300,91838298249143,91838300298583,91838300467668,2218.525,169.085,1,1
0,206,300,91838300708527,91838302346652,91838302911331,2202.804,564.679,1,1
0,207,300,91838302758197,91838304803996,91838304984281,2226.084,180.285,1,1
0,208,300,91838305214629,91838307260639,91838307431864,2217.235,171.225,1,1
0,209,300,91838307670583,91838309312159,91838309876028,2205.445,563.869,1,1
0,210,300,91838309719842,91838311767652,91838311952549,2232.707,184.897,1,1
0,211,300,91838312177726,91838314234426,91838314409582,2231.856,175.156,1,1
0,212,300,91838314635239,91838316681769,91838316850855,2215.616,169.086,1,1
0,213,300,91838316681769,91838318729578,91838319278977,2597.208,549.399,1,1
0,214,300,91838319141742,91838321187811,91838321378048,2236.306,190.237,1,1
0,215,300,91838321598556,91838323645655,91838323811701,2213.145,166.046,1,1
0,216,300,91838324054289,91838325694475,91838326263184,2208.895,568.709,1,1
0,217,300,91838326104268,91838328151908,91838328330194,2225.926,178.286,1,1
0,218,300,91838328563782,91838330608721,91838330788168,2224.386,179.447,1,1
0,219,300,91838331019056,91838332657460,91838333227550,2208.494,570.090,1,1
0,220,300,91838333066775,91838335114894,91838335301140,2234.365,186.246,1,1
0,221,300,91838335524208,91838337572128,91838337742513,2218.305,170.385,1,1
0,222,300,91838337981502,91838339620937,91838340207847,2226.345,586.910,1,1
0,223,300,91838340029681,91838342078720,91838342277157,2247.476,198.437,1,1
0,224,300,91838342486064,91838344534044,91838344706510,2220.446,172.466,1,1
0,225,300,91838344944467,91838346991438,91838347173983,2229.516,182.545,1,1
0,226,300,91838346991438,91838349042767,91838349586836,2595.398,544.069,1,1
0,227,300,91838349449990,91838351499130,91838351675156,2225.166,176.026,1,1
0,228,300,91838351909044,91838353956034,91838354131679,2222.635,175.645,1,1
0,229,300,91838354366797,91838356011514,91838356556612,2189.815,545.098,1,1
0,230,300,91838356413526,91838358461727,91838358640992,2227.466,179.265,1,1
0,231,300,91838358875561,91838360919980,91838361096936,2221.375,176.956,1,1
0,232,300,91838361329074,91838362968459,91838363527069,2197.995,558.610,1,1
0,233,300,91838363376393,91838365425783,91838365605328,2228.935,179.545,1,1
0,234,300,91838365833796,91838367882627,91838368053301,2219.505,170.674,1,1
0,235,300,91838368292810,91838369928986,91838370498225,2205.415,569.239,1,1
